#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
10,Sat Apr 18 21:26:56 EDT 2020,77,0,Assignment5Suite,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments GIPCRMITwoClientConnection ,GIPCRMIOneClientReadWriteNonAtomic GIPCRMITwoClientReadWriteNonAtomic , , ,
11,Sat Apr 18 23:05:28 EDT 2020,77,0,Assignment5Suite,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments GIPCRMITwoClientConnection ,GIPCRMIOneClientReadWriteNonAtomic GIPCRMITwoClientReadWriteNonAtomic , , ,
12,Sun Apr 19 16:36:06 EDT 2020,0,-77,Assignment5Suite, ,GIPCRMIOneClientConnection- GIPCRMIStaticArguments- GIPCRMITwoClientConnection- ,GIPCRMIClientMetaStateBroadcast- GIPCRMIClientMetaStateNoBroadcast- GIPCRMIOneClientReadWriteNonAtomic- GIPCRMIServerMetaStateBroadcast- GIPCRMIServerMetaStateNoBroadcast- GIPCRMITwoClientReadWriteNonAtomic- , ,
13,Sun Apr 19 16:59:11 EDT 2020,0,0,Assignment5Suite, ,GIPCRMIOneClientConnection GIPCRMIStaticArguments GIPCRMITwoClientConnection ,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMITwoClientReadWriteNonAtomic , ,
14,Sun Apr 19 17:03:12 EDT 2020,77,77,Assignment5Suite,GIPCRMIClientMetaStateBroadcast+ GIPCRMIClientMetaStateNoBroadcast+ GIPCRMIOneClientConnection+ GIPCRMIServerMetaStateBroadcast+ GIPCRMIServerMetaStateNoBroadcast+ GIPCRMIStaticArguments+ GIPCRMITwoClientConnection+ ,GIPCRMIOneClientReadWriteNonAtomic+ GIPCRMITwoClientReadWriteNonAtomic+ , , ,
15,Sun Apr 19 18:20:15 EDT 2020,88,11,Assignment5Suite,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic+ GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments GIPCRMITwoClientConnection ,GIPCRMITwoClientReadWriteNonAtomic , , ,
16,Sun Apr 19 20:45:57 EDT 2020,88,0,Assignment5Suite,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments GIPCRMITwoClientConnection ,GIPCRMITwoClientReadWriteNonAtomic , , ,
17,Mon Apr 20 16:56:02 EDT 2020,100,12,Assignment5Suite,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments GIPCRMITwoClientConnection GIPCRMITwoClientReadWriteNonAtomic+ , , , ,
18,Mon Apr 20 17:55:20 EDT 2020,100,0,Assignment5Suite,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments GIPCRMITwoClientConnection GIPCRMITwoClientReadWriteNonAtomic , , , ,
19,Mon Apr 20 19:00:42 EDT 2020,100,0,Assignment5Suite,GIPCRMIClientMetaStateBroadcast GIPCRMIClientMetaStateNoBroadcast GIPCRMIOneClientConnection GIPCRMIOneClientReadWriteNonAtomic GIPCRMIServerMetaStateBroadcast GIPCRMIServerMetaStateNoBroadcast GIPCRMIStaticArguments GIPCRMITwoClientConnection GIPCRMITwoClientReadWriteNonAtomic , , , ,
20,Wed Apr 22 19:27:29 EDT 2020,11,-89,Assignment5Suite,GIPCRMIStaticArguments ,GIPCRMIOneClientConnection- GIPCRMITwoClientConnection- ,GIPCRMIClientMetaStateBroadcast- GIPCRMIClientMetaStateNoBroadcast- GIPCRMIOneClientReadWriteNonAtomic- GIPCRMIServerMetaStateBroadcast- GIPCRMIServerMetaStateNoBroadcast- GIPCRMITwoClientReadWriteNonAtomic- , ,
